Company Name,Vacancies Offered,Year,Work Mode,Highest Salary (INR LPA),Time-Period,AI/ML,CyberSecurity,Cloud Computing,Data Science & Analytics,Software Dev,DevOps & SRE,Blockchain & Web3,IoT,AR/VR & Metaverse,Quantum Computing
Infosys,9000,2021,Hybrid,11,Historical,800,500,1200,700,2500,1200,300,200,150,40
TCS,12000,2021,Onsite,10,Historical,1000,600,1500,900,3000,1500,350,250,180,50
Wipro,6500,2021,Hybrid,11,Historical,600,400,900,600,1800,900,250,150,120,30
HCL Technologies,5800,2021,Remote,12,Historical,550,350,800,500,1600,800,200,120,100,25
IBM India,7200,2021,Hybrid,15,Historical,700,500,1100,800,2000,1000,300,200,150,40
Deloitte,4500,2021,Hybrid,16,Historical,600,700,600,700,1200,700,150,100,120,30
EY India,3800,2021,Hybrid,15,Historical,500,600,500,600,1000,600,120,80,100,20
Capgemini,6000,2021,Hybrid,12,Historical,700,400,900,700,1800,900,250,150,130,35
JP Morgan India,2800,2021,Hybrid,20,Historical,400,350,300,400,700,400,100,60,80,20
Amazon India,4200,2021,Remote,24,Historical,900,400,700,900,1200,700,200,150,130,30
Flipkart,2200,2021,Hybrid,17,Historical,300,200,300,400,700,400,100,80,60,10
Zoho,1800,2021,Onsite,13,Historical,200,150,250,300,500,300,80,60,50,8
Razorpay,1200,2021,Hybrid,18,Historical,250,180,200,300,400,250,90,70,60,12
Uber,2000,2021,Hybrid,25,Historical,500,300,400,600,800,500,150,100,90,20
Shiprocket,800,2021,Hybrid,14,Historical,120,100,150,180,300,180,60,40,30,8
Bread Financial,600,2021,Remote,16,Historical,100,80,120,150,250,150,40,30,20,6
Tesco,1000,2021,Hybrid,15,Historical,200,150,250,300,500,300,80,60,50,10
Groww,1200,2021,Hybrid,18,Historical,250,180,200,300,400,250,90,70,60,12
Siemens,2000,2021,Hybrid,20,Historical,400,300,500,600,900,500,150,120,100,25
Sanofi,700,2021,Remote,14,Historical,100,80,120,150,250,150,40,30,20,6
Microsoft India,3500,2021,Hybrid,30,Historical,700,500,900,800,1200,700,250,180,160,50
Google India,3800,2021,Hybrid,32,Historical,800,600,1000,900,1500,800,300,200,180,60
Juspay,600,2021,Remote,16,Historical,120,80,100,150,200,120,50,40,30,6
Accenture,7500,2021,Hybrid,18,Historical,900,700,1100,900,2000,1000,300,200,150,40
Reliance Industry,2200,2021,Onsite,14,Historical,300,250,400,350,600,350,100,80,70,15
SBI,1500,2021,Onsite,12,Historical,200,300,250,300,400,250,80,60,50,10
Maruti Suzuki,1800,2021,Onsite,13,Historical,250,180,200,300,400,250,90,70,60,12
Tata Motors,2000,2021,Hybrid,15,Historical,300,250,400,350,600,350,100,80,70,15
Bajaj Finance,1600,2021,Hybrid,16,Historical,220,180,240,300,450,280,90,60,50,10
LIC,5000,2021,Onsite,12,Historical,300,400,350,500,800,450,120,90,70,15
Infosys,9800,2022,Hybrid,13,Historical,850,550,1300,750,2700,1300,320,220,160,45
TCS,13500,2022,Onsite,12,Historical,1100,650,1600,950,3200,1600,370,270,190,55
Wipro,7200,2022,Hybrid,13,Historical,650,450,950,650,1900,950,270,160,130,35
HCL Technologies,6200,2022,Remote,13,Historical,600,400,850,550,1700,850,220,130,110,30
IBM India,7800,2022,Hybrid,17,Historical,750,550,1200,850,2100,1100,320,220,160,45
Deloitte,5000,2022,Hybrid,18,Historical,650,750,650,750,1300,750,170,120,130,35
EY India,4200,2022,Hybrid,17,Historical,550,650,550,650,1100,650,140,90,110,25
Capgemini,6500,2022,Hybrid,14,Historical,750,450,950,750,1900,950,270,160,140,40
JP Morgan India,3000,2022,Hybrid,23,Historical,450,400,350,450,750,450,120,70,90,25
Amazon India,4500,2022,Remote,26,Historical,950,450,750,950,1300,750,220,170,140,35
Flipkart,2400,2022,Hybrid,19,Historical,320,220,320,420,750,420,110,90,70,12
Zoho,2000,2022,Onsite,15,Historical,220,170,270,320,550,320,90,70,60,10
Razorpay,1400,2022,Hybrid,20,Historical,280,200,220,320,420,270,100,80,70,15
Uber,2200,2022,Hybrid,28,Historical,550,350,450,650,850,550,170,120,100,25
